Date,Start (ET),away_team,home_team
"Wed, Dec 11, 2019",7:00p,Houston Rockets,Cleveland Cavaliers
"Wed, Dec 11, 2019",7:00p,Boston Celtics,Indiana Pacers
"Wed, Dec 11, 2019",7:00p,Los Angeles Lakers,Orlando Magic
"Wed, Dec 11, 2019",7:00p,Los Angeles Clippers,Toronto Raptors
"Wed, Dec 11, 2019",7:30p,Charlotte Hornets,Brooklyn Nets
"Wed, Dec 11, 2019",8:00p,Atlanta Hawks,Chicago Bulls
"Wed, Dec 11, 2019",8:00p,Utah Jazz,Minnesota Timberwolves
"Wed, Dec 11, 2019",9:00p,Memphis Grizzlies,Phoenix Suns
"Wed, Dec 11, 2019",9:30p,New Orleans Pelicans,Milwaukee Bucks
"Wed, Dec 11, 2019",10:00p,Oklahoma City Thunder,Sacramento Kings
"Wed, Dec 11, 2019",10:30p,New York Knicks,Golden State Warriors
"Thu, Dec 12, 2019",8:00p,Philadelphia 76ers,Boston Celtics
"Thu, Dec 12, 2019",8:30p,Cleveland Cavaliers,San Antonio Spurs
"Thu, Dec 12, 2019",9:00p,Dallas Mavericks,Detroit Pistons
"Thu, Dec 12, 2019",10:30p,Portland Trail Blazers,Denver Nuggets
"Fri, Dec 13, 2019",7:00p,Houston Rockets,Orlando Magic
"Fri, Dec 13, 2019",7:00p,New Orleans Pelicans,Philadelphia 76ers
"Fri, Dec 13, 2019",7:30p,Indiana Pacers,Atlanta Hawks
"Fri, Dec 13, 2019",8:00p,Charlotte Hornets,Chicago Bulls
"Fri, Dec 13, 2019",8:00p,Milwaukee Bucks,Memphis Grizzlies
"Fri, Dec 13, 2019",8:00p,Los Angeles Lakers,Miami Heat
"Fri, Dec 13, 2019",8:00p,Los Angeles Clippers,Minnesota Timberwolves
"Fri, Dec 13, 2019",10:00p,New York Knicks,Sacramento Kings
"Fri, Dec 13, 2019",10:30p,Golden State Warriors,Utah Jazz
"Sat, Dec 14, 2019",5:00p,San Antonio Spurs,Phoenix Suns
"Sat, Dec 14, 2019",7:30p,Brooklyn Nets,Toronto Raptors
"Sat, Dec 14, 2019",8:00p,Los Angeles Clippers,Chicago Bulls
"Sat, Dec 14, 2019",8:00p,Washington Wizards,Memphis Grizzlies
"Sat, Dec 14, 2019",8:30p,Miami Heat,Dallas Mavericks
"Sat, Dec 14, 2019",8:30p,Cleveland Cavaliers,Milwaukee Bucks
"Sat, Dec 14, 2019",9:00p,Oklahoma City Thunder,Denver Nuggets
"Sat, Dec 14, 2019",9:00p,Detroit Pistons,Houston Rockets
"Sun, Dec 15, 2019",3:30p,Orlando Magic,New Orleans Pelicans
"Sun, Dec 15, 2019",5:00p,Charlotte Hornets,Indiana Pacers
"Sun, Dec 15, 2019",6:00p,Los Angeles Lakers,Atlanta Hawks
"Sun, Dec 15, 2019",6:00p,Philadelphia 76ers,Brooklyn Nets
"Sun, Dec 15, 2019",8:00p,New York Knicks,Denver Nuggets
"Sun, Dec 15, 2019",8:30p,Sacramento Kings,Golden State Warriors
"Mon, Dec 16, 2019",7:00p,Washington Wizards,Detroit Pistons
"Mon, Dec 16, 2019",7:30p,Cleveland Cavaliers,Toronto Raptors
"Mon, Dec 16, 2019",8:00p,San Antonio Spurs,Houston Rockets
"Mon, Dec 16, 2019",8:00p,Miami Heat,Memphis Grizzlies
"Mon, Dec 16, 2019",8:00p,Dallas Mavericks,Milwaukee Bucks
"Mon, Dec 16, 2019",8:00p,Chicago Bulls,Oklahoma City Thunder
"Mon, Dec 16, 2019",9:00p,Portland Trail Blazers,Phoenix Suns
"Tue, Dec 17, 2019",7:00p,Sacramento Kings,Charlotte Hornets
"Tue, Dec 17, 2019",7:00p,Los Angeles Lakers,Indiana Pacers
"Tue, Dec 17, 2019",7:30p,Atlanta Hawks,New York Knicks
"Tue, Dec 17, 2019",8:00p,Brooklyn Nets,New Orleans Pelicans
"Tue, Dec 17, 2019",9:00p,Orlando Magic,Utah Jazz
"Tue, Dec 17, 2019",10:30p,Phoenix Suns,Los Angeles Clippers
"Wed, Dec 18, 2019",7:00p,Charlotte Hornets,Cleveland Cavaliers
"Wed, Dec 18, 2019",7:00p,Toronto Raptors,Detroit Pistons
"Wed, Dec 18, 2019",7:00p,Chicago Bulls,Washington Wizards
"Wed, Dec 18, 2019",7:30p,Miami Heat,Philadelphia 76ers
"Wed, Dec 18, 2019",8:00p,New Orleans Pelicans,Minnesota Timberwolves
"Wed, Dec 18, 2019",8:00p,Memphis Grizzlies,Oklahoma City Thunder
"Wed, Dec 18, 2019",8:30p,Boston Celtics,Dallas Mavericks
"Wed, Dec 18, 2019",9:00p,Orlando Magic,Denver Nuggets
"Wed, Dec 18, 2019",10:00p,Golden State Warriors,Portland Trail Blazers
"Thu, Dec 19, 2019",7:30p,Utah Jazz,Atlanta Hawks
"Thu, Dec 19, 2019",8:00p,Los Angeles Lakers,Milwaukee Bucks
"Thu, Dec 19, 2019",8:30p,Brooklyn Nets,San Antonio Spurs
"Thu, Dec 19, 2019",10:30p,Houston Rockets,Los Angeles Clippers
"Fri, Dec 20, 2019",7:00p,Memphis Grizzlies,Cleveland Cavaliers
"Fri, Dec 20, 2019",7:00p,Sacramento Kings,Indiana Pacers
"Fri, Dec 20, 2019",7:30p,Detroit Pistons,Boston Celtics
"Fri, Dec 20, 2019",7:30p,Washington Wizards,Toronto Raptors
"Fri, Dec 20, 2019",8:00p,New York Knicks,Miami Heat
"Fri, Dec 20, 2019",8:00p,Phoenix Suns,Oklahoma City Thunder
"Fri, Dec 20, 2019",8:00p,Dallas Mavericks,Philadelphia 76ers
"Fri, Dec 20, 2019",9:00p,Minnesota Timberwolves,Denver Nuggets
"Fri, Dec 20, 2019",10:00p,Orlando Magic,Portland Trail Blazers
"Fri, Dec 20, 2019",10:30p,New Orleans Pelicans,Golden State Warriors
"Sat, Dec 21, 2019",5:00p,Utah Jazz,Charlotte Hornets
"Sat, Dec 21, 2019",6:00p,Atlanta Hawks,Brooklyn Nets
"Sat, Dec 21, 2019",7:00p,Chicago Bulls,Detroit Pistons
"Sat, Dec 21, 2019",7:00p,Washington Wizards,Philadelphia 76ers
"Sat, Dec 21, 2019",7:30p,Milwaukee Bucks,New York Knicks
"Sat, Dec 21, 2019",8:00p,Sacramento Kings,Memphis Grizzlies
"Sat, Dec 21, 2019",8:30p,Los Angeles Clippers,San Antonio Spurs
"Sat, Dec 21, 2019",9:00p,Houston Rockets,Phoenix Suns
"Sat, Dec 21, 2019",10:00p,Minnesota Timberwolves,Portland Trail Blazers
"Sun, Dec 22, 2019",3:30p,Dallas Mavericks,Toronto Raptors
"Sun, Dec 22, 2019",6:00p,Charlotte Hornets,Boston Celtics
"Sun, Dec 22, 2019",7:00p,Indiana Pacers,Milwaukee Bucks
"Sun, Dec 22, 2019",7:00p,Los Angeles Clippers,Oklahoma City Thunder
"Sun, Dec 22, 2019",9:30p,Denver Nuggets,Los Angeles Lakers
"Mon, Dec 23, 2019",7:00p,Atlanta Hawks,Cleveland Cavaliers
"Mon, Dec 23, 2019",7:00p,Philadelphia 76ers,Detroit Pistons
"Mon, Dec 23, 2019",7:00p,Toronto Raptors,Indiana Pacers
"Mon, Dec 23, 2019",7:00p,Washington Wizards,New York Knicks
"Mon, Dec 23, 2019",7:00p,Chicago Bulls,Orlando Magic
"Mon, Dec 23, 2019",7:30p,Utah Jazz,Miami Heat
"Mon, Dec 23, 2019",8:00p,San Antonio Spurs,Memphis Grizzlies
"Mon, Dec 23, 2019",9:00p,Denver Nuggets,Phoenix Suns
"Mon, Dec 23, 2019",10:00p,New Orleans Pelicans,Portland Trail Blazers
"Mon, Dec 23, 2019",10:00p,Houston Rockets,Sacramento Kings
"Mon, Dec 23, 2019",10:30p,Minnesota Timberwolves,Golden State Warriors
"Wed, Dec 25, 2019",12:00p,Boston Celtics,Toronto Raptors
"Wed, Dec 25, 2019",2:30p,Milwaukee Bucks,Philadelphia 76ers
"Wed, Dec 25, 2019",5:00p,Houston Rockets,Golden State Warriors
"Wed, Dec 25, 2019",8:00p,Los Angeles Clippers,Los Angeles Lakers
"Wed, Dec 25, 2019",10:30p,New Orleans Pelicans,Denver Nuggets
"Thu, Dec 26, 2019",7:00p,Washington Wizards,Detroit Pistons
"Thu, Dec 26, 2019",8:00p,New York Knicks,Brooklyn Nets
"Thu, Dec 26, 2019",8:00p,Memphis Grizzlies,Oklahoma City Thunder
"Thu, Dec 26, 2019",8:30p,San Antonio Spurs,Dallas Mavericks
"Thu, Dec 26, 2019",10:00p,Minnesota Timberwolves,Sacramento Kings
"Thu, Dec 26, 2019",10:30p,Portland Trail Blazers,Utah Jazz
"Fri, Dec 27, 2019",4:00p,Cleveland Cavaliers,Boston Celtics
"Fri, Dec 27, 2019",7:00p,Oklahoma City Thunder,Charlotte Hornets
"Fri, Dec 27, 2019",7:00p,Philadelphia 76ers,Orlando Magic
"Fri, Dec 27, 2019",7:30p,Milwaukee Bucks,Atlanta Hawks
"Fri, Dec 27, 2019",8:00p,Indiana Pacers,Miami Heat
"Fri, Dec 27, 2019",10:30p,Phoenix Suns,Golden State Warriors
"Sat, Dec 28, 2019",5:00p,Memphis Grizzlies,Denver Nuggets
"Sat, Dec 28, 2019",7:00p,Toronto Raptors,Boston Celtics
"Sat, Dec 28, 2019",7:00p,Indiana Pacers,New Orleans Pelicans
"Sat, Dec 28, 2019",8:00p,Atlanta Hawks,Chicago Bulls
"Sat, Dec 28, 2019",8:00p,Brooklyn Nets,Houston Rockets
"Sat, Dec 28, 2019",8:00p,Philadelphia 76ers,Miami Heat
"Sat, Dec 28, 2019",8:00p,Cleveland Cavaliers,Minnesota Timberwolves
"Sat, Dec 28, 2019",8:00p,New York Knicks,Washington Wizards
"Sat, Dec 28, 2019",8:30p,Dallas Mavericks,Golden State Warriors
"Sat, Dec 28, 2019",8:30p,Orlando Magic,Milwaukee Bucks
"Sat, Dec 28, 2019",8:30p,Detroit Pistons,San Antonio Spurs
"Sat, Dec 28, 2019",9:00p,Phoenix Suns,Sacramento Kings
"Sat, Dec 28, 2019",10:00p,Los Angeles Lakers,Portland Trail Blazers
"Sat, Dec 28, 2019",10:30p,Utah Jazz,Los Angeles Clippers
"Sun, Dec 29, 2019",6:00p,Oklahoma City Thunder,Toronto Raptors
"Sun, Dec 29, 2019",8:00p,Sacramento Kings,Denver Nuggets
"Sun, Dec 29, 2019",8:00p,Charlotte Hornets,Memphis Grizzlies
"Sun, Dec 29, 2019",8:00p,Houston Rockets,New Orleans Pelicans
"Sun, Dec 29, 2019",9:30p,Dallas Mavericks,Los Angeles Lakers
"Mon, Dec 30, 2019",7:00p,Atlanta Hawks,Orlando Magic
"Mon, Dec 30, 2019",7:00p,Miami Heat,Washington Wizards
"Mon, Dec 30, 2019",8:00p,Milwaukee Bucks,Chicago Bulls
"Mon, Dec 30, 2019",8:00p,Brooklyn Nets,Minnesota Timberwolves
"Mon, Dec 30, 2019",9:00p,Detroit Pistons,Utah Jazz
"Mon, Dec 30, 2019",10:00p,Phoenix Suns,Portland Trail Blazers
"Tue, Dec 31, 2019",3:00p,Boston Celtics,Charlotte Hornets
"Tue, Dec 31, 2019",3:00p,Philadelphia 76ers,Indiana Pacers
"Tue, Dec 31, 2019",5:00p,Los Angeles Clippers,Sacramento Kings
"Tue, Dec 31, 2019",7:00p,Denver Nuggets,Houston Rockets
"Tue, Dec 31, 2019",7:00p,Golden State Warriors,San Antonio Spurs
"Tue, Dec 31, 2019",7:00p,Cleveland Cavaliers,Toronto Raptors
"Tue, Dec 31, 2019",8:00p,Dallas Mavericks,Oklahoma City Thunder
"Wed, Jan 1, 2020",6:00p,Orlando Magic,Washington Wizards
"Wed, Jan 1, 2020",7:30p,Portland Trail Blazers,New York Knicks
"Wed, Jan 1, 2020",8:00p,Minnesota Timberwolves,Milwaukee Bucks
"Wed, Jan 1, 2020",10:30p,Phoenix Suns,Los Angeles Lakers
"Thu, Jan 2, 2020",7:00p,Charlotte Hornets,Cleveland Cavaliers
"Thu, Jan 2, 2020",7:00p,Denver Nuggets,Indiana Pacers
"Thu, Jan 2, 2020",7:30p,Toronto Raptors,Miami Heat
"Thu, Jan 2, 2020",8:00p,Utah Jazz,Chicago Bulls
"Thu, Jan 2, 2020",8:00p,Golden State Warriors,Minnesota Timberwolves
"Thu, Jan 2, 2020",8:30p,Brooklyn Nets,Dallas Mavericks
"Thu, Jan 2, 2020",8:30p,Oklahoma City Thunder,San Antonio Spurs
"Thu, Jan 2, 2020",10:00p,Memphis Grizzlies,Sacramento Kings
"Thu, Jan 2, 2020",10:30p,Detroit Pistons,Los Angeles Clippers
"Fri, Jan 3, 2020",7:00p,Atlanta Hawks,Boston Celtics
"Fri, Jan 3, 2020",7:00p,Miami Heat,Orlando Magic
"Fri, Jan 3, 2020",7:00p,Portland Trail Blazers,Washington Wizards
"Fri, Jan 3, 2020",8:00p,Philadelphia 76ers,Houston Rockets
"Fri, Jan 3, 2020",9:00p,New York Knicks,Phoenix Suns
"Fri, Jan 3, 2020",10:30p,New Orleans Pelicans,Los Angeles Lakers
"Sat, Jan 4, 2020",3:30p,Memphis Grizzlies,Los Angeles Clippers
"Sat, Jan 4, 2020",6:00p,Toronto Raptors,Brooklyn Nets
"Sat, Jan 4, 2020",7:00p,Utah Jazz,Orlando Magic
"Sat, Jan 4, 2020",7:30p,Indiana Pacers,Atlanta Hawks
"Sat, Jan 4, 2020",7:30p,Oklahoma City Thunder,Cleveland Cavaliers
"Sat, Jan 4, 2020",8:00p,Boston Celtics,Chicago Bulls
"Sat, Jan 4, 2020",8:00p,Denver Nuggets,Washington Wizards
"Sat, Jan 4, 2020",8:30p,Charlotte Hornets,Dallas Mavericks
"Sat, Jan 4, 2020",8:30p,Detroit Pistons,Golden State Warriors
"Sat, Jan 4, 2020",8:30p,San Antonio Spurs,Milwaukee Bucks
"Sat, Jan 4, 2020",10:00p,New Orleans Pelicans,Sacramento Kings
"Sun, Jan 5, 2020",3:30p,New York Knicks,Los Angeles Clippers
"Sun, Jan 5, 2020",6:00p,Portland Trail Blazers,Miami Heat
"Sun, Jan 5, 2020",7:30p,Minnesota Timberwolves,Cleveland Cavaliers
"Sun, Jan 5, 2020",8:00p,Memphis Grizzlies,Phoenix Suns
"Sun, Jan 5, 2020",10:00p,Detroit Pistons,Los Angeles Lakers
"Mon, Jan 6, 2020",7:00p,Indiana Pacers,Charlotte Hornets
"Mon, Jan 6, 2020",7:00p,Brooklyn Nets,Orlando Magic
"Mon, Jan 6, 2020",7:00p,Oklahoma City Thunder,Philadelphia 76ers
"Mon, Jan 6, 2020",7:00p,Boston Celtics,Washington Wizards
"Mon, Jan 6, 2020",7:30p,Denver Nuggets,Atlanta Hawks
"Mon, Jan 6, 2020",8:00p,Utah Jazz,New Orleans Pelicans
"Mon, Jan 6, 2020",8:30p,Chicago Bulls,Dallas Mavericks
"Mon, Jan 6, 2020",8:30p,Milwaukee Bucks,San Antonio Spurs
"Mon, Jan 6, 2020",10:00p,Golden State Warriors,Sacramento Kings
"Tue, Jan 7, 2020",7:00p,Detroit Pistons,Cleveland Cavaliers
"Tue, Jan 7, 2020",7:00p,Portland Trail Blazers,Toronto Raptors
"Tue, Jan 7, 2020",7:30p,Oklahoma City Thunder,Brooklyn Nets
"Tue, Jan 7, 2020",8:00p,Minnesota Timberwolves,Memphis Grizzlies
"Tue, Jan 7, 2020",9:00p,Sacramento Kings,Phoenix Suns
"Tue, Jan 7, 2020",10:30p,New York Knicks,Los Angeles Lakers
"Wed, Jan 8, 2020",7:00p,San Antonio Spurs,Boston Celtics
"Wed, Jan 8, 2020",7:00p,Toronto Raptors,Charlotte Hornets
"Wed, Jan 8, 2020",7:00p,Miami Heat,Indiana Pacers
"Wed, Jan 8, 2020",7:00p,Washington Wizards,Orlando Magic
"Wed, Jan 8, 2020",7:30p,Houston Rockets,Atlanta Hawks
"Wed, Jan 8, 2020",7:30p,Denver Nuggets,Dallas Mavericks
"Wed, Jan 8, 2020",8:00p,Chicago Bulls,New Orleans Pelicans
"Wed, Jan 8, 2020",9:00p,New York Knicks,Utah Jazz
"Wed, Jan 8, 2020",10:00p,Milwaukee Bucks,Golden State Warriors
"Thu, Jan 9, 2020",7:00p,Cleveland Cavaliers,Detroit Pistons
"Thu, Jan 9, 2020",7:00p,Boston Celtics,Philadelphia 76ers
"Thu, Jan 9, 2020",8:00p,Portland Trail Blazers,Minnesota Timberwolves
"Thu, Jan 9, 2020",9:30p,Houston Rockets,Oklahoma City Thunder
"Fri, Jan 10, 2020",7:00p,Atlanta Hawks,Washington Wizards
"Fri, Jan 10, 2020",7:30p,Miami Heat,Brooklyn Nets
"Fri, Jan 10, 2020",8:00p,Indiana Pacers,Chicago Bulls
"Fri, Jan 10, 2020",8:00p,San Antonio Spurs,Memphis Grizzlies
"Fri, Jan 10, 2020",8:00p,New Orleans Pelicans,New York Knicks
"Fri, Jan 10, 2020",8:30p,Los Angeles Lakers,Dallas Mavericks
"Fri, Jan 10, 2020",9:00p,Orlando Magic,Phoenix Suns
"Fri, Jan 10, 2020",9:00p,Charlotte Hornets,Utah Jazz
"Fri, Jan 10, 2020",10:00p,Milwaukee Bucks,Sacramento Kings
"Fri, Jan 10, 2020",10:30p,Golden State Warriors,Los Angeles Clippers
"Sat, Jan 11, 2020",5:00p,Minnesota Timberwolves,Houston Rockets
"Sat, Jan 11, 2020",7:00p,New Orleans Pelicans,Boston Celtics
"Sat, Jan 11, 2020",7:00p,Chicago Bulls,Detroit Pistons
"Sat, Jan 11, 2020",8:00p,Los Angeles Lakers,Oklahoma City Thunder
"Sat, Jan 11, 2020",8:30p,Philadelphia 76ers,Dallas Mavericks
"Sat, Jan 11, 2020",9:00p,Cleveland Cavaliers,Denver Nuggets
"Sat, Jan 11, 2020",10:00p,Milwaukee Bucks,Portland Trail Blazers
"Sun, Jan 12, 2020",3:30p,Miami Heat,New York Knicks
"Sun, Jan 12, 2020",3:30p,Utah Jazz,Washington Wizards
"Sun, Jan 12, 2020",6:00p,Atlanta Hawks,Brooklyn Nets
"Sun, Jan 12, 2020",6:00p,Golden State Warriors,Memphis Grizzlies
"Sun, Jan 12, 2020",6:00p,San Antonio Spurs,Toronto Raptors
"Sun, Jan 12, 2020",8:00p,Los Angeles Clippers,Denver Nuggets
"Sun, Jan 12, 2020",8:00p,Charlotte Hornets,Phoenix Suns
"Mon, Jan 13, 2020",7:00p,New Orleans Pelicans,Detroit Pistons
"Mon, Jan 13, 2020",7:00p,Philadelphia 76ers,Indiana Pacers
"Mon, Jan 13, 2020",7:30p,Chicago Bulls,Boston Celtics
"Mon, Jan 13, 2020",8:00p,Oklahoma City Thunder,Minnesota Timberwolves
"Mon, Jan 13, 2020",10:00p,Charlotte Hornets,Portland Trail Blazers
"Mon, Jan 13, 2020",10:00p,Orlando Magic,Sacramento Kings
"Mon, Jan 13, 2020",10:30p,Cleveland Cavaliers,Los Angeles Lakers
"Tue, Jan 14, 2020",7:30p,Phoenix Suns,Atlanta Hawks
"Tue, Jan 14, 2020",7:30p,Utah Jazz,Brooklyn Nets
"Tue, Jan 14, 2020",8:00p,Houston Rockets,Memphis Grizzlies
"Tue, Jan 14, 2020",8:00p,New York Knicks,Milwaukee Bucks
"Tue, Jan 14, 2020",10:30p,Dallas Mavericks,Golden State Warriors
"Tue, Jan 14, 2020",10:30p,Cleveland Cavaliers,Los Angeles Clippers
"Wed, Jan 15, 2020",7:00p,Detroit Pistons,Boston Celtics
"Wed, Jan 15, 2020",7:00p,Brooklyn Nets,Philadelphia 76ers
"Wed, Jan 15, 2020",7:30p,San Antonio Spurs,Miami Heat
"Wed, Jan 15, 2020",8:00p,Washington Wizards,Chicago Bulls
"Wed, Jan 15, 2020",8:00p,Indiana Pacers,Minnesota Timberwolves
"Wed, Jan 15, 2020",8:00p,Toronto Raptors,Oklahoma City Thunder
"Wed, Jan 15, 2020",9:00p,Charlotte Hornets,Denver Nuggets
"Wed, Jan 15, 2020",9:30p,Portland Trail Blazers,Houston Rockets
"Wed, Jan 15, 2020",10:00p,Dallas Mavericks,Sacramento Kings
"Wed, Jan 15, 2020",10:30p,Orlando Magic,Los Angeles Lakers
"Thu, Jan 16, 2020",7:30p,Phoenix Suns,New York Knicks
"Thu, Jan 16, 2020",8:00p,Boston Celtics,Milwaukee Bucks
"Thu, Jan 16, 2020",8:00p,Utah Jazz,New Orleans Pelicans
"Thu, Jan 16, 2020",10:30p,Denver Nuggets,Golden State Warriors
"Thu, Jan 16, 2020",10:30p,Orlando Magic,Los Angeles Clippers
"Fri, Jan 17, 2020",7:00p,Minnesota Timberwolves,Indiana Pacers
"Fri, Jan 17, 2020",7:00p,Chicago Bulls,Philadelphia 76ers
"Fri, Jan 17, 2020",7:00p,Washington Wizards,Toronto Raptors
"Fri, Jan 17, 2020",8:00p,Cleveland Cavaliers,Memphis Grizzlies
"Fri, Jan 17, 2020",8:00p,Miami Heat,Oklahoma City Thunder
"Fri, Jan 17, 2020",8:30p,Atlanta Hawks,San Antonio Spurs
"Fri, Jan 17, 2020",9:30p,Portland Trail Blazers,Dallas Mavericks
"Sat, Jan 18, 2020",3:30p,Los Angeles Clippers,New Orleans Pelicans
"Sat, Jan 18, 2020",6:00p,Milwaukee Bucks,Brooklyn Nets
"Sat, Jan 18, 2020",7:00p,Phoenix Suns,Boston Celtics
"Sat, Jan 18, 2020",7:30p,Detroit Pistons,Atlanta Hawks
"Sat, Jan 18, 2020",7:30p,Philadelphia 76ers,New York Knicks
"Sat, Jan 18, 2020",8:00p,Cleveland Cavaliers,Chicago Bulls
"Sat, Jan 18, 2020",8:00p,Toronto Raptors,Minnesota Timberwolves
"Sat, Jan 18, 2020",8:30p,Orlando Magic,Golden State Warriors
"Sat, Jan 18, 2020",8:30p,Los Angeles Lakers,Houston Rockets
"Sat, Jan 18, 2020",9:00p,Portland Trail Blazers,Oklahoma City Thunder
"Sat, Jan 18, 2020",9:00p,Sacramento Kings,Utah Jazz
"Sun, Jan 19, 2020",3:00p,Miami Heat,San Antonio Spurs
"Sun, Jan 19, 2020",8:00p,Indiana Pacers,Denver Nuggets
"Mon, Jan 20, 2020",2:00p,Detroit Pistons,Washington Wizards
"Mon, Jan 20, 2020",2:30p,Toronto Raptors,Atlanta Hawks
"Mon, Jan 20, 2020",3:00p,Philadelphia 76ers,Brooklyn Nets
"Mon, Jan 20, 2020",5:00p,Orlando Magic,Charlotte Hornets
"Mon, Jan 20, 2020",5:00p,New York Knicks,Cleveland Cavaliers
"Mon, Jan 20, 2020",5:00p,Oklahoma City Thunder,Houston Rockets
"Mon, Jan 20, 2020",5:00p,New Orleans Pelicans,Memphis Grizzlies
"Mon, Jan 20, 2020",5:00p,Sacramento Kings,Miami Heat
"Mon, Jan 20, 2020",5:00p,Chicago Bulls,Milwaukee Bucks
"Mon, Jan 20, 2020",7:30p,Los Angeles Lakers,Boston Celtics
"Mon, Jan 20, 2020",8:00p,Denver Nuggets,Minnesota Timberwolves
"Mon, Jan 20, 2020",9:00p,San Antonio Spurs,Phoenix Suns
"Mon, Jan 20, 2020",9:00p,Indiana Pacers,Utah Jazz
"Mon, Jan 20, 2020",10:00p,Golden State Warriors,Portland Trail Blazers
"Tue, Jan 21, 2020",8:30p,Los Angeles Clippers,Dallas Mavericks
"Wed, Jan 22, 2020",7:00p,Sacramento Kings,Detroit Pistons
"Wed, Jan 22, 2020",7:00p,Oklahoma City Thunder,Orlando Magic
"Wed, Jan 22, 2020",7:30p,Los Angeles Clippers,Atlanta Hawks
"Wed, Jan 22, 2020",7:30p,Memphis Grizzlies,Boston Celtics
"Wed, Jan 22, 2020",7:30p,Washington Wizards,Miami Heat
"Wed, Jan 22, 2020",7:30p,Los Angeles Lakers,New York Knicks
"Wed, Jan 22, 2020",7:30p,Philadelphia 76ers,Toronto Raptors
"Wed, Jan 22, 2020",8:00p,Minnesota Timberwolves,Chicago Bulls
"Wed, Jan 22, 2020",8:00p,Denver Nuggets,Houston Rockets
"Wed, Jan 22, 2020",8:00p,San Antonio Spurs,New Orleans Pelicans
"Wed, Jan 22, 2020",9:00p,Indiana Pacers,Phoenix Suns
"Wed, Jan 22, 2020",10:00p,Utah Jazz,Golden State Warriors
"Thu, Jan 23, 2020",7:00p,Washington Wizards,Cleveland Cavaliers
"Thu, Jan 23, 2020",8:00p,Los Angeles Lakers,Brooklyn Nets
"Thu, Jan 23, 2020",10:30p,Dallas Mavericks,Portland Trail Blazers
"Fri, Jan 24, 2020",3:00p,Milwaukee Bucks,Charlotte Hornets
"Fri, Jan 24, 2020",7:00p,Memphis Grizzlies,Detroit Pistons
"Fri, Jan 24, 2020",7:00p,Boston Celtics,Orlando Magic
"Fri, Jan 24, 2020",7:30p,Toronto Raptors,New York Knicks
"Fri, Jan 24, 2020",8:00p,Sacramento Kings,Chicago Bulls
"Fri, Jan 24, 2020",8:00p,Los Angeles Clippers,Miami Heat
"Fri, Jan 24, 2020",8:00p,Houston Rockets,Minnesota Timberwolves
"Fri, Jan 24, 2020",8:00p,Denver Nuggets,New Orleans Pelicans
"Fri, Jan 24, 2020",8:00p,Atlanta Hawks,Oklahoma City Thunder
"Fri, Jan 24, 2020",8:30p,Phoenix Suns,San Antonio Spurs
"Fri, Jan 24, 2020",10:30p,Indiana Pacers,Golden State Warriors
"Sat, Jan 25, 2020",5:00p,Dallas Mavericks,Utah Jazz
"Sat, Jan 25, 2020",7:00p,Brooklyn Nets,Detroit Pistons
"Sat, Jan 25, 2020",8:00p,Chicago Bulls,Cleveland Cavaliers
"Sat, Jan 25, 2020",8:00p,Oklahoma City Thunder,Minnesota Timberwolves
"Sat, Jan 25, 2020",8:30p,Los Angeles Lakers,Philadelphia 76ers
"Sun, Jan 26, 2020",3:30p,Houston Rockets,Denver Nuggets
"Sun, Jan 26, 2020",4:00p,Toronto Raptors,San Antonio Spurs
"Sun, Jan 26, 2020",6:00p,Washington Wizards,Atlanta Hawks
"Sun, Jan 26, 2020",6:00p,Phoenix Suns,Memphis Grizzlies
"Sun, Jan 26, 2020",6:00p,Boston Celtics,New Orleans Pelicans
"Sun, Jan 26, 2020",6:00p,Brooklyn Nets,New York Knicks
"Sun, Jan 26, 2020",6:00p,Los Angeles Clippers,Orlando Magic
"Sun, Jan 26, 2020",9:00p,Indiana Pacers,Portland Trail Blazers
"Mon, Jan 27, 2020",7:00p,Cleveland Cavaliers,Detroit Pistons
"Mon, Jan 27, 2020",7:30p,Orlando Magic,Miami Heat
"Mon, Jan 27, 2020",8:00p,San Antonio Spurs,Chicago Bulls
"Mon, Jan 27, 2020",8:00p,Sacramento Kings,Minnesota Timberwolves
"Mon, Jan 27, 2020",8:00p,Dallas Mavericks,Oklahoma City Thunder
"Mon, Jan 27, 2020",9:00p,Houston Rockets,Utah Jazz
"Tue, Jan 28, 2020",7:00p,New York Knicks,Charlotte Hornets
"Tue, Jan 28, 2020",7:30p,New Orleans Pelicans,Cleveland Cavaliers
"Tue, Jan 28, 2020",7:30p,Boston Celtics,Miami Heat
"Tue, Jan 28, 2020",7:30p,Golden State Warriors,Philadelphia 76ers
"Tue, Jan 28, 2020",7:30p,Atlanta Hawks,Toronto Raptors
"Tue, Jan 28, 2020",8:00p,Denver Nuggets,Memphis Grizzlies
"Tue, Jan 28, 2020",8:00p,Washington Wizards,Milwaukee Bucks
"Tue, Jan 28, 2020",8:30p,Phoenix Suns,Dallas Mavericks
"Tue, Jan 28, 2020",10:00p,Los Angeles Clippers,Los Angeles Lakers
"Wed, Jan 29, 2020",7:00p,Chicago Bulls,Indiana Pacers
"Wed, Jan 29, 2020",7:30p,Detroit Pistons,Brooklyn Nets
"Wed, Jan 29, 2020",7:30p,Memphis Grizzlies,New York Knicks
"Wed, Jan 29, 2020",8:30p,Utah Jazz,San Antonio Spurs
